NOMBRE_INSTITUCION,NOMBRE_PROGRAMA_ACAD,NOMBRE_REGION,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,AÑO,promedio_global_anterior,promedio_movil_2_anios,desviacion_historica_2_anios,anios_historicos_disponibles
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,193.0,191.0,2.0,5
CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT,MEDICINA,ANDINA,QUINDIO,ARMENIA,2025,155.0,156.0,1.0,5
CORPORACION UNIVERSITARIA REMINGTON,MEDICINA,ANDINA,ANTIOQUIA,MEDELLÍN,2025,146.0,145.5,0.5,5
FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS,MEDICINA,ANDINA,ANTIOQUIA,MEDELLÍN,2025,151.0,154.0,3.0,5
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,172.0,170.0,2.0,5
FUNDACION UNIVERSITARIA DEL AREA ANDINA,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,160.0,157.0,3.0,2
FUNDACION UNIVERSITARIA JUAN N. CORPAS,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,154.0,153.5,0.5,5
FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA,MEDICINA,ANDINA,HUILA,NEIVA,2025,151.0,149.0,2.0,5
FUNDACION UNIVERSITARIA SAN MARTIN,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,149.8,150.1142857142857,0.3142857142857025,5
FUNDACION UNIVERSITARIA SANITAS,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,163.0,166.5,3.5,5
UNIVERSIDAD ANTONIO NARIÑO,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,152.0,154.5,2.5,5
UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,MEDICINA,ANDINA,SANTANDER,BUCARAMANGA,2025,171.0,171.5,0.5,5
UNIVERSIDAD CES,MEDICINA,ANDINA,ANTIOQUIA,MEDELLÍN,2025,180.0,183.5,3.5,5
UNIVERSIDAD DE ANTIOQUIA,MEDICINA,ANDINA,ANTIOQUIA,MEDELLÍN,2025,186.0,177.5,8.5,5
UNIVERSIDAD DE BOYACA UNIBOYACA - TUNJA,MEDICINA,ANDINA,BOYACA,TUNJA,2025,157.0,155.5,1.5,5
UNIVERSIDAD DE CALDAS,MEDICINA,ANDINA,CALDAS,MANIZALES,2025,174.0,168.5,5.5,5
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,160.0,162.0,2.0,5
UNIVERSIDAD DE LA SABANA,MEDICINA,ANDINA,CUNDINAMARCA,CHÍA,2025,184.0,183.5,0.5,5
UNIVERSIDAD DE LOS ANDES,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,189.0,192.5,3.5,5
UNIVERSIDAD DE MANIZALES,MEDICINA,ANDINA,CALDAS,MANIZALES,2025,166.0,167.5,1.5,5
UNIVERSIDAD DE PAMPLONA,MEDICINA,ANDINA,NORTE SANTANDER,PAMPLONA,2025,165.0,167.0,2.0,5
UNIVERSIDAD DE SANTANDER,MEDICINA,ANDINA,SANTANDER,BUCARAMANGA,2025,155.0,154.25,0.75,5
UNIVERSIDAD DEL QUINDIO,MEDICINA,ANDINA,QUINDIO,ARMENIA,2025,171.0,171.5,0.5,5
UNIVERSIDAD DEL TOLIMA,MEDICINA,ANDINA,TOLIMA,IBAGUÉ,2025,158.0,159.0,1.0,5
UNIVERSIDAD EL BOSQUE,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,172.0,173.0,1.0,5
UNIVERSIDAD INDUSTRIAL DE SANTANDER,MEDICINA,ANDINA,SANTANDER,BUCARAMANGA,2025,190.0,186.5,3.5,5
UNIVERSIDAD MILITAR-NUEVA GRANADA,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,180.0,181.0,1.0,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MEDICINA,ANDINA,BOGOTÁ,BOGOTÁ D.C.,2025,191.0,188.5,2.5,5
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,MEDICINA,ANDINA,BOYACA,TUNJA,2025,174.0,174.5,0.5,5
UNIVERSIDAD PONTIFICIA BOLIVARIANA,MEDICINA,ANDINA,ANTIOQUIA,MEDELLÍN,2025,183.0,182.0,1.0,5
UNIVERSIDAD SURCOLOMBIANA,MEDICINA,ANDINA,HUILA,NEIVA,2025,168.0,165.5,2.5,5
UNIVERSIDAD TECNOLOGICA DE PEREIRA,MEDICINA,ANDINA,RISARALDA,PEREIRA,2025,171.0,173.0,2.0,5
CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,MEDICINA,CARIBE,BOLIVAR,CARTAGENA DE INDIAS,2025,146.0,144.5,1.5,5
FUNDACION UNIVERSIDAD DEL NORTE,MEDICINA,CARIBE,ATLANTICO,BARRANQUILLA,2025,185.0,182.5,2.5,5
UNIVERSIDAD COOPERATIVA DE COLOMBIA,MEDICINA,CARIBE,MAGDALENA,SANTA MARTA,2025,154.5,152.08333333333331,2.4166666666666714,5
UNIVERSIDAD DE CARTAGENA,MEDICINA,CARIBE,BOLIVAR,CARTAGENA DE INDIAS,2025,164.0,162.5,1.5,5
UNIVERSIDAD DE SUCRE,MEDICINA,CARIBE,SUCRE,SINCELEJO,2025,161.0,164.0,3.0,5
UNIVERSIDAD DEL MAGDALENA,MEDICINA,CARIBE,MAGDALENA,SANTA MARTA,2025,163.0,165.5,2.5,5
UNIVERSIDAD DEL SINÚ ELIAS BECHARA ZAINUM - UNISINÚ-,MEDICINA,CARIBE,BOLIVAR,CARTAGENA DE INDIAS,2025,144.0,144.83333333333331,0.8333333333333286,5
UNIVERSIDAD METROPOLITANA,MEDICINA,CARIBE,ATLANTICO,BARRANQUILLA,2025,148.0,148.5,0.5,5
