iter	MAE
0	12.1988496
1	11.64419445
2	11.19534389
3	10.69146242
4	10.24972466
5	9.831991956
6	9.446308027
7	9.062162734
8	8.691352931
9	8.329566299
10	8.013506652
11	7.739662028
12	7.453956059
13	7.196569562
14	6.933423517
15	6.679489808
16	6.507717515
17	6.317325036
18	6.1198858
19	5.933518172
20	5.78968314
21	5.614520215
22	5.488773803
23	5.351476566
24	5.23658729
25	5.110758865
26	4.968321643
27	4.837559054
28	4.718181169
29	4.606372348
30	4.514279943
31	4.394172577
32	4.308646052
33	4.221696024
34	4.141571521
35	4.066020675
36	4.006751803
37	3.955453562
38	3.892477466
39	3.831742296
40	3.768114381
41	3.699745874
42	3.648003485
43	3.590832355
44	3.551626699
45	3.502297783
46	3.452180649
47	3.414386374
48	3.36104006
49	3.332320524
50	3.292365235
51	3.246926475
52	3.210803005
53	3.172243575
54	3.137720384
55	3.113674825
56	3.088034607
57	3.058316167
58	3.049674822
59	3.019494055
60	2.994761379
61	2.961877634
62	2.932539154
63	2.91450459
64	2.893901277
65	2.878447745
66	2.858533773
67	2.837920306
68	2.806893653
69	2.787407517
70	2.767378086
71	2.749965502
72	2.741008071
73	2.727444279
74	2.710795167
75	2.69451927
76	2.677191715
77	2.667113953
78	2.651696272
79	2.628528923
80	2.618247571
81	2.60922481
82	2.593993116
83	2.57677142
84	2.56299319
85	2.549425845
86	2.539216327
87	2.526717124
88	2.51608368
89	2.505544164
90	2.496343987
91	2.481677362
92	2.469560752
93	2.454073351
94	2.444250479
95	2.437419707
96	2.42356533
97	2.41573497
98	2.406884277
99	2.398845155
100	2.393894009
101	2.379815303
102	2.371559192
103	2.360433415
104	2.350454169
105	2.343858333
106	2.337591191
107	2.324859367
108	2.312381408
109	2.29729201
110	2.292987597
111	2.287633571
112	2.279869366
113	2.270615586
114	2.263536986
115	2.245168412
116	2.232551053
117	2.226975433
118	2.220281052
119	2.210032307
120	2.187788728
121	2.175821369
122	2.164517047
123	2.157320322
124	2.152264994
125	2.148589236
126	2.142238728
127	2.136003586
128	2.13026289
129	2.116755346
130	2.106865612
131	2.096085421
132	2.090768732
133	2.084782465
134	2.067911328
135	2.060261042
136	2.05118734
137	2.039498599
138	2.032052941
139	2.026368024
140	2.019990026
141	2.013281782
142	2.007512043
143	2.001981628
144	1.996196729
145	1.984830096
146	1.978725942
147	1.969881069
148	1.964344648
149	1.957190835
150	1.948147318
151	1.942175235
152	1.933981186
153	1.927874906
154	1.913278052
155	1.908727066
156	1.904306107
157	1.900039652
158	1.896289223
159	1.891276527
160	1.881170156
161	1.8742152
162	1.871505484
163	1.865384077
164	1.860229583
165	1.855533306
166	1.850481832
167	1.848623648
168	1.836845487
169	1.82993043
170	1.823283842
171	1.815811042
172	1.80576095
173	1.800319805
174	1.795855266
175	1.7853188
176	1.78097456
177	1.776953128
178	1.770915746
179	1.767324803
180	1.757117523
181	1.752373667
182	1.745763125
183	1.74218014
184	1.738442408
185	1.734259253
186	1.729682775
187	1.728218905
188	1.723713808
189	1.722655424
190	1.716740971
191	1.709025338
192	1.697916953
193	1.694334319
194	1.688033718
195	1.683296402
196	1.677070362
197	1.675287677
198	1.667599194
199	1.66154529
200	1.652504955
201	1.641043486
202	1.636875642
203	1.632830195
204	1.631282073
205	1.62167032
206	1.61775809
207	1.609014507
208	1.602507067
209	1.59573824
210	1.590892228
211	1.585354211
212	1.579623901
213	1.574616262
214	1.570551882
215	1.565284565
216	1.558906666
217	1.554498448
218	1.552138045
219	1.550051258
220	1.544040938
221	1.53926663
222	1.53369397
223	1.529412453
224	1.52651086
225	1.523184527
226	1.514468862
227	1.511945248
228	1.508865758
229	1.505231878
230	1.498751205
231	1.497645353
232	1.492849319
233	1.489312653
234	1.488647804
235	1.487567931
236	1.480891421
237	1.478719502
238	1.476966397
239	1.470296364
240	1.468484229
241	1.465842546
242	1.46008857
243	1.456415874
244	1.450820575
245	1.447190084
246	1.446604758
247	1.445155339
248	1.442937031
249	1.437123354
250	1.429993944
251	1.425890613
252	1.422401474
253	1.41754677
254	1.415980468
255	1.413442201
256	1.410506063
257	1.409320426
258	1.408037125
259	1.404038117
260	1.393769475
261	1.390737032
262	1.387535665
263	1.383922567
264	1.38292293
265	1.380978957
266	1.373413397
267	1.3698163
268	1.366963154
269	1.364847648
270	1.362523629
271	1.356357879
272	1.352531894
273	1.350695369
274	1.346253604
275	1.345423164
276	1.341998236
277	1.340665921
278	1.336670457
279	1.332960587
280	1.32621468
281	1.324751635
282	1.321882229
283	1.318538226
284	1.317204279
285	1.312458983
286	1.309214524
287	1.308217799
288	1.305985268
289	1.303806169
290	1.300666262
291	1.297543287
292	1.295691307
293	1.292628802
294	1.289677497
295	1.288460656
296	1.287172546
297	1.286163344
298	1.284943889
299	1.282786168
