iter	Passed	Remaining
0	55	16594
1	55	8300
2	55	5534
3	56	4151
4	56	3321
5	56	2766
6	56	2372
7	56	2075
8	57	1844
9	57	1659
10	57	1508
11	57	1381
12	57	1275
13	57	1183
14	58	1104
15	58	1035
16	58	975
17	58	920
18	58	871
19	59	827
20	59	788
21	59	751
22	59	718
23	59	688
24	60	660
25	60	634
26	60	610
27	60	588
28	60	567
29	60	548
30	61	530
31	61	513
32	61	497
33	61	482
34	61	468
35	62	455
36	62	442
37	62	430
38	62	419
39	62	408
40	62	397
41	63	388
42	63	378
43	63	369
44	63	361
45	63	352
46	64	344
47	64	337
48	64	330
49	64	323
50	64	316
51	65	310
52	65	303
53	65	297
54	65	292
55	65	286
56	66	281
57	66	279
58	67	273
59	67	269
60	67	264
61	67	259
62	67	255
63	68	250
64	68	246
65	68	242
66	68	238
67	69	236
68	69	233
69	69	229
70	70	226
71	70	222
72	70	218
73	70	215
74	70	212
75	71	209
76	71	206
77	71	203
78	71	200
79	72	198
80	72	195
81	72	192
82	72	190
83	72	187
84	73	184
85	73	182
86	73	179
87	73	177
88	73	175
89	74	172
90	74	170
91	74	168
92	74	166
93	75	164
94	75	162
95	75	160
96	75	158
97	76	156
98	76	155
99	76	153
100	76	151
101	77	149
102	77	148
103	77	146
104	77	144
105	78	143
106	78	141
107	78	139
108	78	138
109	79	136
110	79	135
111	79	133
112	79	132
113	80	130
114	80	129
115	80	128
116	80	126
117	81	125
118	81	123
119	81	122
120	81	120
121	81	119
122	82	118
123	82	116
124	82	115
125	82	114
126	82	112
127	82	111
128	83	110
129	83	108
130	83	107
131	83	106
132	84	105
133	84	104
134	84	103
135	84	102
136	85	101
137	85	100
138	85	99
139	85	98
140	86	97
141	86	95
142	86	94
143	86	93
144	86	92
145	86	91
146	87	90
147	87	89
148	87	88
149	87	87
150	88	86
151	88	86
152	88	85
153	88	84
154	89	83
155	89	82
156	89	81
157	89	80
158	89	79
159	90	78
160	90	78
161	90	77
162	90	76
163	90	75
164	91	74
165	91	73
166	91	72
167	91	72
168	91	71
169	92	70
170	92	69
171	92	68
172	92	68
173	93	67
174	93	66
175	93	65
176	93	65
177	94	64
178	94	63
179	94	63
180	94	62
181	94	61
182	95	60
183	95	60
184	95	59
185	95	58
186	95	57
187	96	57
188	96	56
189	96	55
190	96	55
191	97	54
192	97	53
193	97	53
194	97	52
195	97	51
196	97	51
197	98	50
198	98	49
199	98	49
200	99	48
201	99	48
202	99	47
203	99	47
204	100	46
205	100	45
206	100	45
207	100	44
208	100	43
209	101	43
210	101	42
211	101	42
212	101	41
213	101	40
214	102	40
215	102	39
216	102	39
217	102	38
218	102	38
219	103	37
220	103	36
221	103	36
222	103	35
223	103	35
224	104	34
225	104	34
226	104	33
227	104	33
228	104	32
229	105	31
230	105	31
231	105	30
232	105	30
233	105	29
234	105	29
235	106	28
236	106	28
237	106	27
238	106	27
239	106	26
240	107	26
241	107	25
242	107	25
243	107	24
244	107	24
245	108	23
246	108	23
247	108	22
248	108	22
249	108	21
250	109	21
251	109	20
252	109	20
253	109	19
254	110	19
255	110	18
256	110	18
257	110	18
258	110	17
259	111	17
260	111	16
261	111	16
262	111	15
263	111	15
264	111	14
265	112	14
266	112	13
267	112	13
268	112	12
269	112	12
270	113	12
271	113	11
272	113	11
273	113	10
274	113	10
275	113	9
276	114	9
277	114	9
278	114	8
279	114	8
280	114	7
281	115	7
282	115	6
283	115	6
284	115	6
285	115	5
286	115	5
287	116	4
288	116	4
289	116	4
290	116	3
291	116	3
292	117	2
293	117	2
294	117	1
295	117	1
296	117	1
297	117	0
298	118	0
299	118	0
